Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
0x0000;RTC_GPIO_OUT;dig_clk_rtc_gated;rst_rtc_n;;;rtc_gpio_out_data;[31:14];0;R/W;WXTX;;;;RTC GPIO 0 ~ 17 output data
;;;;;;;[13:0];;;;;;;
0x0001;RTC_GPIO_OUT_W1TS;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_gpio_out_data_w1ts;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 output data write 1 to set
;;;;;;;[13:0];;;;;;;
0x0002;RTC_GPIO_OUT_W1TC;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_gpio_out_data_w1tc;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 output data write 1 to clear
;;;;;;;[13:0];;;;;;;
0x0003;RTC_GPIO_ENABLE;dig_clk_rtc_gated;rst_rtc_n;;;reg_rtc_gpio_enable;[31:14];0;R/W;WXTX;;;;RTC GPIO 0 ~ 17 enable
;;;;;;;[13:0];;;;;;;
0x0004;RTC_GPIO_ENABLE_W1TS;dig_clk_rtc_gated;rst_rtc_n;Not;;reg_rtc_gpio_enable_w1ts;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 enable write 1 to set
;;;;;;;[13:0];;;;;;;
0x0005;RTC_GPIO_ENABLE_W1TC;dig_clk_rtc_gated;rst_rtc_n;Not;;reg_rtc_gpio_enable_w1tc;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 enable write 1 to clear
;;;;;;;[13:0];;;;;;;
0x0006;RTC_GPIO_STATUS;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int;[31:14];0;R/W;INT;;;IO = I, rtc_gpio_int[17:0];RTC GPIO 0 ~ 17 interrupt status
;;;;;;;[13:0];;;;;;;
0x0007;RTC_GPIO_STATUS_W1TS;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int_w1ts;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 interrupt status write 1 to set
;;;;;;;[13:0];;;;;;;
0x0008;RTC_GPIO_STATUS_W1TC;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int_w1tc;[31:14];0;WO;;;;;RTC GPIO 0 ~ 17 interrupt status write 1 to clear
;;;;;;;[13:0];;;;;;;
0x0009;RTC_GPIO_IN;dig_clk_rtc_gated;rst_rtc_n;;;rtc_gpio_in_next;[31:14];;RO;;;;;RTC GPIO input data
;;;;;;;[13:0];;;;;;;
0x000a;RTC_GPIO_PIN0;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN0_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN0_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN0_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x000b;RTC_GPIO_PIN1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN1_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN1_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN1_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x000c;RTC_GPIO_PIN2;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN2_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN2_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN2_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x000d;RTC_GPIO_PIN3;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN3_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
